,Wind1VelX (m/s)     ,Azimuth   (deg)     ,RotSpeed  (rpm)     ,GenSpeed  (rpm)     ,PtfmSurge (m)       ,PtfmSway  (m)       ,PtfmHeave (m)       ,PtfmRoll  (deg)     ,PtfmPitch (deg)     ,PtfmYaw   (deg)     ,TTDspFA   (m)       ,WaveDir,PropagationDir,WaveTp,WaveHS,HWindSpeed,TwrBsFxt  (kN)      ,TwrBsFyt  (kN)      ,TTDspSS   (m)       ,OoPDefl1  (m)       ,IPDefl1   (m)       ,GenPwr    (kW)      ,ANCHTEN1  (N)       ,ANCHTEN2  (N)       ,"ANCHTEN3  
(N)       
"
0,0.4769,2.258,1.026,1.026,2.011,1.169,0.02393,0.542,-1.607,0.009882,-0.2798,22.5,-17.5,0.5,0.25,0.5,-463.5,-162.4,-0.08842,0.1909,-0.1062,38.14,2178000,1989000,1825000
1,0.4769,2.442,1.018,1.018,2.011,1.169,0.02392,0.542,-1.607,0.009892,-0.2827,22.5,-17.5,0.5,0.25,0.5,-458.9,-164.8,-0.08884,0.2305,-0.1331,37.81,2178000,1988000,1821000
2,0.4769,2.625,1.009,1.009,2.011,1.169,0.02392,0.542,-1.607,0.009904,-0.2857,22.5,-17.5,0.5,0.25,0.5,-465.8,-161.8,-0.08929,0.2697,-0.1627,37.48,2178000,1987000,1821000
3,0.4769,2.805,1.001,1.001,2.011,1.169,0.02391,0.542,-1.606,0.009916,-0.2887,22.5,-17.5,0.5,0.25,0.5,-485.3,-155.2,-0.08978,0.3058,-0.1947,37.19,2178000,1987000,1820000
4,0.4769,2.985,0.9954,0.9954,2.01,1.169,0.02391,0.542,-1.606,0.00993,-0.2916,22.5,-17.5,0.5,0.25,0.5,-518.3,-149.3,-0.09031,0.3372,-0.2281,36.96,2178000,1986000,1820000
5,0.4769,3.164,0.9913,0.9913,2.01,1.169,0.0239,0.542,-1.606,0.009945,-0.2946,22.5,-17.5,0.5,0.25,0.5,-559.8,-147,-0.09088,0.3622,-0.2621,36.79,2178000,1986000,1820000
6,0.4769,3.342,0.9896,0.9896,2.01,1.168,0.0239,0.542,-1.606,0.009961,-0.2974,22.5,-17.5,0.5,0.25,0.5,-599.2,-150.4,-0.09151,0.3799,-0.2954,36.72,2183000,1986000,1820000
7,0.4769,3.52,0.9895,0.9895,2.01,1.168,0.0239,0.5419,-1.606,0.009979,-0.3001,22.5,-17.5,0.5,0.25,0.5,-634.9,-161.5,-0.09217,0.3906,-0.3266,36.71,2182000,1986000,1821000
8,0.4769,3.698,0.9908,0.9908,2.01,1.168,0.0239,0.5419,-1.606,0.009997,-0.3027,22.5,-17.5,0.5,0.25,0.5,-665.1,-179.3,-0.09287,0.3949,-0.3544,36.75,2182000,1987000,1821000
9,0.4769,3.877,0.9928,0.9928,2.009,1.168,0.02391,0.5419,-1.606,0.01002,-0.305,22.5,-17.5,0.5,0.25,0.5,-685.1,-199.1,-0.09358,0.3941,-0.3775,36.81,2181000,1986000,1821000
10,0.4769,4.056,0.9955,0.9955,2.009,1.168,0.02391,0.5419,-1.606,0.01004,-0.3071,22.5,-17.5,0.5,0.25,0.5,-693.5,-215.5,-0.0943,0.3899,-0.3947,36.9,2181000,1987000,1824000
11,0.4769,4.235,0.9982,0.9982,2.009,1.168,0.02392,0.5419,-1.606,0.01006,-0.3089,22.5,-17.5,0.5,0.25,0.5,-695.3,-225.5,-0.09501,0.3856,-0.405,36.99,2182000,1988000,1833000
12,0.4769,4.415,1.001,1.001,2.008,1.167,0.02393,0.5419,-1.606,0.01008,-0.3105,22.5,-17.5,0.5,0.25,0.5,-691.5,-226.6,-0.0957,0.3835,-0.4078,37.09,2183000,1991000,1833000
